lon;lat;depth;slip;strike;dip;rake;width;length;rupture
35.63667861;34.44496211;70.711;0;25;45;90;200;1000;12.037
35.64131483;34.4531177;70.711;0;25;45;90;200;1000;12.336
35.64595196;34.4612731;70.711;0;25;45;90;200;1000;12.633
35.65058998;34.46942831;70.711;0;25;45;90;200;1000;12.893
35.6552289;34.47758334;70.711;0;25;45;90;200;1000;13.231
35.65986873;34.48573818;70.711;0;25;45;90;200;1000;13.521
35.66450946;34.49389283;70.711;0;25;45;90;200;1000;13.734
35.6691511;34.5020473;70.711;0;25;45;90;200;1000;13.978
35.67379364;34.51020158;70.711;0;25;45;90;200;1000;14.415
35.67843708;34.51835567;70.711;0;25;45;90;200;1000;14.798
35.68308143;34.52650957;70.711;0;25;45;90;200;1000;15.071
35.68772668;34.53466329;70.711;0;25;45;90;200;1000;15.322
35.69237284;34.54281681;70.711;0;25;45;90;200;1000;15.691
35.69701991;34.55097015;70.711;0;25;45;90;200;1000;15.963
35.70166788;34.55912331;70.711;0;25;45;90;200;1000;16.239
35.70631676;34.56727627;70.711;0;25;45;90;200;1000;16.508
35.71096655;34.57542905;70.711;0;25;45;90;200;1000;16.732
35.25635647;33.76686718;212.132;0.16375;25;45;90;200;1000;12.04
35.26091948;33.77503796;212.132;0;25;45;90;200;1000;11.825
35.26548336;33.78320857;212.132;0;25;45;90;200;1000;11.61
35.2700481;33.79137899;212.132;0;25;45;90;200;1000;11.483
35.27461371;33.79954924;212.132;0;25;45;90;200;1000;11.448
35.27918018;33.8077193;212.132;0;25;45;90;200;1000;11.256
35.28374753;33.81588919;212.132;0.55772;25;45;90;200;1000;11.04
35.28831574;33.82405889;212.132;0.36712;25;45;90;200;1000;10.91
35.29288482;33.83222842;212.132;0;25;45;90;200;1000;10.611
35.29745478;33.84039776;212.132;0;25;45;90;200;1000;10.31
35.3020256;33.84856693;212.132;0.25759;25;45;90;200;1000;10.044
35.30659729;33.85673591;212.132;0;25;45;90;200;1000;9.811
35.31116985;33.86490471;212.132;0;25;45;90;200;1000;9.616
35.31574328;33.87307334;212.132;0;25;45;90;200;1000;9.359
35.32031759;33.88124178;212.132;0;25;45;90;200;1000;9.087
35.32489277;33.88941004;212.132;0;25;45;90;200;1000;8.583
35.32946882;33.89757812;212.132;0.21374;25;45;90;200;1000;8.226
35.33404574;33.90574603;212.132;0;25;45;90;200;1000;8.001
35.33862353;33.91391374;212.132;0.12022;25;45;90;200;1000;7.742
35.3432022;33.92208128;212.132;0;25;45;90;200;1000;7.499
35.34778174;33.93024864;212.132;0.26552;25;45;90;200;1000;7.365
35.35236216;33.93841582;212.132;0;25;45;90;200;1000;7.32
35.35694345;33.94658281;212.132;0;25;45;90;200;1000;7.077
35.36152562;33.95474963;212.132;0.27078;25;45;90;200;1000;6.8
35.36610866;33.96291626;212.132;0.53907;25;45;90;200;1000;6.464
35.37069258;33.97108271;212.132;0.1608;25;45;90;200;1000;6.144
35.37527738;33.97924898;212.132;0;25;45;90;200;1000;5.904
35.37986305;33.98741507;212.132;0;25;45;90;200;1000;5.681
